num,path,nonempty_road
0,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_0.jpg,0
10,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_10.jpg,0
20,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_20.jpg,0
30,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_30.jpg,0
40,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_40.jpg,1
50,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_50.jpg,1
60,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_60.jpg,1
70,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_70.jpg,0
80,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_80.jpg,0
90,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_90.jpg,0
100,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_100.jpg,0
110,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_110.jpg,0
120,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_120.jpg,0
130,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_130.jpg,0
140,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_140.jpg,0
150,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_150.jpg,0
160,/home/royliu/./Documents/datasets/traffic/video2/./empty_road/video2_160.jpg,0
170,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_170.jpg,1
180,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_180.jpg,1
190,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_190.jpg,1
200,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_200.jpg,1
210,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_210.jpg,1
220,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_220.jpg,1
230,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_230.jpg,1
240,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_240.jpg,1
250,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_250.jpg,1
260,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_260.jpg,1
270,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_270.jpg,1
280,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_280.jpg,1
290,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_290.jpg,1
300,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_300.jpg,1
310,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_310.jpg,1
320,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_320.jpg,1
330,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_330.jpg,1
340,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_340.jpg,1
350,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_350.jpg,1
360,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_360.jpg,1
370,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_370.jpg,1
380,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_380.jpg,1
390,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_390.jpg,1
400,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_400.jpg,1
410,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_410.jpg,1
420,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_420.jpg,1
430,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_430.jpg,1
440,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_440.jpg,1
450,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_450.jpg,1
460,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_460.jpg,1
470,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_470.jpg,1
480,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_480.jpg,1
490,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_490.jpg,1
500,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_500.jpg,1
510,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_510.jpg,1
520,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_520.jpg,1
530,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_530.jpg,1
540,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_540.jpg,1
550,/home/royliu/./Documents/datasets/traffic/video2/./nonempty_road/video2_550.jpg,1
